Name_en,CAS,role,functional_groups
n-Dodecane,112-40-3,,
n-Tridecane,629-50-5,,
Nitrobenzene,98-95-3,,
Magnesium chloride hexahydrate,7791-18-6,,
1-Propanol,71-23-8,,
Manganese chloride,13446-34-9,,
Isopropanol,67-63-0,solvent,hydroxyl|alcohol|polar
1-Butanol,71-36-3,solvent,hydroxyl|alcohol
1-Octanol,111-87-5,,
Copper(II) nitrate 2.5H2O,19004-19-4,,
Lanthanum chloride hydrate,20211-76-1,,
2-Methylimidazole,693-98-1,,
Lanthanum chloride,13450-84-5,,
n-Octane,111-65-9,,
n-Hexadecane,544-76-3,,
Dichloromethane,75-09-2,solvent,chlorinated|polar
Lanthanum chloride hexahydrate,17272-45-6,,
Zinc nitrate hexahydrate,10196-18-6,,
"N,N-Diethyl-3-aminopropyltrimethoxysilane",41051-80-3,,
4-Aminophenol,123-30-8,,
Ethyl hexanoate,123-66-0,,
Calcium chloride hexahydrate,7774-34-7,,
Diethoxydimethylsilane,78-62-6,,
Adipic acid,124-04-9,,
Sodium nitrite,7632-00-0,,
Mesitylene,108-67-8,,
Ethyl acetate,141-78-6,solvent,ester|polar
Scotch-Weld Threadlocker,,,
Terephthalic acid,100-21-0,,
Methanol,67-56-1,solvent,hydroxyl|alcohol|polar
n-Heptane,142-82-5,,
TiO2 nanoparticles,13463-67-7,nanofiller,metal_oxide|UV_active
Ethyl lactate,97-64-3,,
2-Methylimidazole,693-98-1,,
Zinc nitrate hexahydrate,10196-18-6,,
6-Mercapto-1-hexanol,1633-78-9,,
Black acrylic paint,,,
Chromium chloride hexahydrate,10060-12-5,,
Polyvinylpyrrolidone (PVP),9003-39-8,secondary_polymer,amide|pyrrolidone|hydrophilic
"2,2-Diethoxyacetophenone",6175-45-7,photo_initiator,acetophenone|UV_sensitive
Titanium diisopropoxide bis(acetylacetonate),17927-72-9,,
Cesium chloride,7647-17-8,,
PEG (polyethylene glycol),25322-68-3,plasticizer,hydroxyl|polyether|water_soluble
PMMA micropowder,9011-14-7,,
Anisole,100-66-3,,
Fluorescein,2321-7-5,,
Ethyl cellulose,9004-57-3,,
Cobalt nitrate hexahydrate,10026-22-9,,
UV resin (model 7290),-7290,,
Chloroform,67-66-3,solvent,chlorinated|nonpolar
Acrylamide,79-06-1,secondary_polymer,amide|vinyl|monomer
Terephthalic acid,100-21-0,,
Acetic acid,64-19-7,,
"N,N-Methylenebisacrylamide",110-26-9,,
tert-Butanol,75-65-0,solvent,hydroxyl|alcohol|tertiary
Ethylene glycol dimethacrylate,97-90-5,,
Potassium carbonate,584-08-7,,
Isopropanol,67-63-0,solvent,hydroxyl|alcohol|polar
Ammonium bifluoride,1341-49-7,,
Formic acid,64-18-6,,
Octanoic acid,124-07-2,,
Pyridine (anhydrous),110-86-1,,
Decane,124-18-5,,
DMSO,67-68-5,solvent,sulfoxide|polar_aprotic
Acetophenone,98-86-2,,
Fluorescein sodium,518-47-8,,
Vinyltrimethoxysilane,2768-02-7,,
Cobalt nitrate hexahydrate,10026-22-9,,
Benzoic acid,65-85-0,,
Aluminum chloride hexahydrate,7784-13-6,,
Dichloromethane,75-09-2,solvent,chlorinated|polar
Lanthanum chloride,13450-84-5,,
"1H,1H,2H,2H-Perfluorodecyltrimethoxysilane",83048-65-1,,
Nickel nitrate hexahydrate,13478-00-7,,
Tetrabutylammonium perchlorate,1923-70-2,,
Trifluoropropylmethyldichlorosilane,675-62-7,,
Hexadecyltrimethoxysilane,16415-12-6,,
0.2M Phosphate buffer,,,
1-Hexanol,111-27-3,,
Copper chloride dihydrate,10125-13-0,,
4-Acyl-18-crown-6,68865-32-7,,
N-Vinyl-2-pyrrolidone,88-12-0,,
Methacryloyloxypropyl tris(trimethylsiloxane)silane,17096-07-0,,
N-(Trimethoxysilylpropyl)EDTA sodium salt,128850-89-5,,
Copper sulfate,7758-98-7,,
Sodium hydroxide (NaOH),1310-73-2,catalyst,strong_base|pH_adjuster
Glycerol,56-81-5,plasticizer,hydroxyl|triol|polyol|humectant
Coomassie Brilliant Blue R250,6104-59-2,,
Ethyl 7-bromoheptanoate,29823-18-5,,
meso-Tetra(4-carboxyphenyl)porphine,14609-54-2,,
Zinc acetate dihydrate,5970-45-6,,
Ethyl 10-bromodecanoate,55099-31-5,,
Hafnium tetrachloride,13499-05-3,,
Ethyl 4-bromobutyrate,2969-81-5,,
Zirconium oxychloride octahydrate,13520-92-8,,
"1,1-Ferrocenedicarboxylic acid",1293-87-4,,
Zirconium tetrachloride,10026-11-6,,
Tetrakis(4-carboxyphenyl)ethylene,1351279-73-6,,
Terephthalaldehyde,623-27-8,,
Pyrazine,290-37-9,,
Mesitylene,108-67-8,,
"1,4-Benzenediboronic acid",4612-26-4,,
Trimesic acid,554-95-0,,
"2,3,6,7,10,11-Hexahydroxytriphenylene",4877-80-9,,
"1,3,5-Tris(4-carboxyphenyl)benzene",50446-44-1,,
Pentanoic acid,109-52-4,,
Butyric acid,107-92-6,,
1-Hexanol,111-27-3,,
Hexanoic acid,142-62-1,,
Octanoic acid,124-07-2,,
Nickel chloride hexahydrate,7791-20-0,,
Cobalt chloride hexahydrate,7791-13-1,,
3-Aminopropyltriethoxysilane (APTES),919-30-2,,
Ethanol (anhydrous),64-17-5,solvent,hydroxyl|alcohol|volatile
Triethylamine,121-44-8,,
3-Mercaptopropionic acid,107-96-0,,
"1,2-Dimethoxyethane",110-71-4,,
N-Methyl-2-pyrrolidone (NMP),872-50-4,solvent,amide|polar_aprotic
Oil Red O,1320-06-5,,
"1,3-Dioxolane",646-06-0,,
Methylene Blue,61-73-4,,
Imidazole,288-32-4,,
Carboxyethylsilanetriol sodium salt,18191-40-7,,
Methylene Blue trihydrate,7220-79-3,,
Dopamine hydrochloride,62-31-7,,
Stearic acid,57-11-4,,
Docusate sodium (AOT),577-11-7,,
Ethylene carbonate,96-49-1,,
Silane coupling agent KH-570,2530-85-0,,
p-Xylene,106-42-3,,
HEPES,7365-45-9,,
Iodine,7553-56-2,,
Potassium sulfate,7778-80-5,,
Trioctylamine,1116-76-3,,
Phenolphthalein,77-09-8,,
Soluble starch,9005-84-9,,
"2,2-Bipyridine-N,N-dioxide",1539-42-0,,
Bis(2-ethylhexyl) phosphate,298-07-7,,
Pentaerythritol tetrakis(3-mercaptopropionate),771-61-9,,
Polyaniline (emeraldine salt),335349-50-3,,
LiTFSI (lithium bis(trifluoromethanesulfonyl)imide),90076-65-6,,
p-Xylene,106-42-3,,
"2,2-Dimethoxy-2-phenylacetophenone",24650-42-8,photo_initiator,benzophenone|UV_sensitive
Carbon tetrachloride,56-23-5,,
Succinic anhydride,108-30-5,,
Sodium diethyldithiocarbamate,148-18-5,,
Trimethylaluminum,75-24-1,,
Glycerol,56-81-5,plasticizer,hydroxyl|triol|polyol|humectant
LiTFSI (lithium bis(trifluoromethanesulfonyl)imide),90076-65-6,,
Diethyl carbonate,105-58-8,,
Acetonitrile,75-05-8,solvent,nitrile|polar_aprotic
Ammonium acetate,631-61-8,,
Lithium nitrate,7790-69-4,,
"1,3-Dioxolane",646-06-0,,
Magnesium chloride,7786-30-3,,
n-Hexane (anhydrous),110-54-3,solvent,alkane|nonpolar
Silica gel,112926-00-8,,
Hydrochloric acid (HCl),7647-01-0,catalyst,strong_acid|pH_adjuster
2-Hydroxy-2-methylpropiophenone,52628-03-2,photo_initiator,hydroxyketone|UV_sensitive
Potassium chloride,7447-40-7,,
Potassium ferricyanide,13746-66-2,,
1-Butyl-3-methylimidazolium tetrafluoroborate,244193-50-8,,
(Trimethyl)methylcyclopentadienyl platinum(IV),94442-22-5,,
"DAPI (4,6-Diamidino-2-phenylindole)",28718-90-3,,
"N,N-Dimethylformamide (DMF)",68-12-2,solvent,amide|polar_aprotic
"1,3-Dimethylimidazolium iodide",36062-19-8,,
Dodecyltrimethylammonium chloride,112-00-5,,
1-Ethyl-3-methylimidazolium tetrafluoroborate,143314-16-3,,
Fluorescein sodium,518-47-8,,
Magnesium chloride,7786-30-3,,
Guanidine hydrochloride,50-01-1,,
n-Heptane,142-82-5,,
Poly(diallyldimethylammonium chloride),26062-79-3,,
Poly(sodium 4-styrenesulfonate),25704-18-1,,
Potassium nitrate,7757-79-1,,
n-Hexane (anhydrous),110-54-3,solvent,alkane|nonpolar
2-Aminoterephthalic acid,10312-55-7,,
Fluorescein green,82953-57-9,,
PVA (polyvinyl alcohol),9002-89-5,main_polymer,hydroxyl|polyvinyl|water_soluble
Dichloromethane,75-09-2,solvent,chlorinated|polar
Tetrahydrofuran (THF),109-99-9,solvent,ether|polar
Methyl ethyl ketone (MEK),78-93-3,,
Polyethyleneimine,9002-98-6,,
Zirconium tetrachloride,10026-11-6,,
"2,4-Pentanedione",123-54-6,,
"N,N-Dimethylacetamide (DMAc)",127-19-5,solvent,amide|polar_aprotic
DMSO,67-68-5,solvent,sulfoxide|polar_aprotic
PEG (polyethylene glycol),25322-68-3,plasticizer,hydroxyl|polyether|water_soluble
Tris-HCl,1185-53-1,,
4-Aminobenzo-15-crown-5,60835-71-4,,
Poly(sodium 4-styrenesulfonate),25704-18-1,,
Iron(III) oxide,1309-37-1,,
Silver nitrate,7761-88-8,,
Silane coupling agent KH-570,2530-85-0,,
Tris base,77-86-1,,
Potassium bromide,7758-02-3,,
Ethyl acetate,141-78-6,solvent,ester|polar
Iron(III) chloride hexahydrate,10025-77-1,,
Aluminum chloride,7446-70-0,,
Ammonium chloride,12125-02-9,,
2-Carboxyethyl acrylate,48145-04-6,,
Methanol,67-56-1,solvent,hydroxyl|alcohol|polar
Sodium chloride (NaCl),7647-14-5,additive,ionic|osmolyte
Nickel acetylacetonate,3264-82-2,,
Phosphoric acid 85%,7664-38-2,,
Disodium phosphate dodecahydrate,10039-32-4,,
Titanium isopropoxide,546-68-9,,
2-Methylimidazole,693-98-1,,
Potassium chloride,7447-40-7,,
TiO2 nanoparticles,13463-67-7,nanofiller,metal_oxide|UV_active
3-Mercaptopropionic acid,107-96-0,,
Polyethyleneimine,9002-98-6,,
Perfluorononanoic acid,375-95-1,,
Dopamine hydrochloride,62-31-7,,
Methylene Blue trihydrate,7220-79-3,,
Glucose monohydrate,14431-43-7,,
Fumed silica SiO2,112945-52-5,,
Cetyltrimethylammonium bromide (CTAB),57-09-0,additive,quaternary_ammonium|surfactant
Titanium isopropoxide,546-68-9,,
Ethyl acetate,141-78-6,solvent,ester|polar
Sodium hydroxide (NaOH),1310-73-2,catalyst,strong_base|pH_adjuster
Polyacrylonitrile,25014-41-9,,
Dichloromethane,75-09-2,solvent,chlorinated|polar
Cesium carbonate,534-17-8,,
Molecular sieve 4A,70955-01-0,,
Potassium thiocyanate,333-20-0,,
Calcein,1461-15-0,,
Ferric chloride,7705-08-0,,
Cyclohexane,110-82-7,,
"N,N-Dimethylacetamide (DMAc)",127-19-5,solvent,amide|polar_aprotic
Urea,57-13-6,,
"N,N-Dimethylformamide (DMF)",68-12-2,solvent,amide|polar_aprotic
Hexadecyltrimethoxysilane,85857-16-5,,
Dimethicone,63148-62-9,,
Diiodomethane,75-11-6,,
1X PBS Buffer,,,
Zinc sulfate,7733-02-0,,
Ammonia solution,1336-21-6,,
Copper chloride dihydrate,10125-13-0,,
Perfluorooctanoic acid (PFOA),367-64-6,,
Carboxymethyl cellulose (CMC),9004-32-4,,
Potassium chloride,7447-40-7,,
Potassium hydroxide,1310-58-3,,
Sodium bromide,7647-15-6,,
Iron(III) chloride hexahydrate,10025-77-1,,
Aluminum chloride hexahydrate,7784-13-6,,
Copper chloride dihydrate,10125-13-0,,
Magnesium chloride,7786-30-3,,
Sodium chloride (NaCl),7647-14-5,additive,ionic|osmolyte
Chromium chloride hexahydrate,10060-12-5,,
Ethyl acetate,141-78-6,solvent,ester|polar
Methyl methacrylate,80-62-6,,
Lithium chloride,7447-41-8,,
Decane,124-18-5,,
Lead acetate,6080-56-4,,
Magnesium chloride,7786-30-3,,
N-Vinyl-2-pyrrolidone,88-12-0,,
Methacryloyloxypropyl tris(trimethylsiloxane)silane,17096-07-0,,
Dehydrated calcium chloride,11043-52-4,,
Cadmium chloride,7790-78-5,,
Cesium chloride,7647-17-8,,
Sodium polyacrylate,9003-04-7,secondary_polymer,carboxyl|polyacrylate|water_soluble
Disodium phosphate,7558-79-4,,
AIBN (Azobisisobutyronitrile),78-67-1,,
Sodium hydroxide (NaOH),1310-73-2,catalyst,strong_base|pH_adjuster
Potassium dihydrogen phosphate,7778-77-0,,
Sodium carbonate anhydrous,497-19-8,,
Sodium 2-naphthalenesulfonate,532-02-5,,
Polyvinylidene fluoride (PVDF),24937-79-9,,
Sodium hydroxide (NaOH),1310-73-2,catalyst,strong_base|pH_adjuster
Sodium carbonate anhydrous,497-19-8,,
Lithium chloride,7447-41-8,,
Calcium chloride (CaCl2),10043-52-4,crosslinker,divalent_cation|ionic_crosslinker
Magnesium chloride,7786-30-3,,
Lead acetate,6080-56-4,,
Potassium iodide,7681-11-0,,
Cesium chloride,7647-17-8,,
Iron(III) chloride hexahydrate,10025-77-1,,
Aluminum chloride hexahydrate,7784-13-6,,
Chromium chloride hexahydrate,10060-12-5,,
Copper chloride dihydrate,10125-13-0,,
AIBN (Azobisisobutyronitrile),78-67-1,,
Zinc chloride,7646-85-7,,
Cadmium chloride,7790-78-5,,
Carboxymethyl cellulose (CMC),9004-32-4,,
Potassium hydroxide,1310-58-3,,
Potassium chloride,7447-40-7,,
Potassium dihydrogen phosphate,7778-77-0,,
Calcium chloride (CaCl2),10043-52-4,crosslinker,divalent_cation|ionic_crosslinker
Sodium 2-naphthalenesulfonate,532-02-5,,
Disodium phosphate,7558-79-4,,
Polyvinylidene fluoride (PVDF),24937-79-9,,
Sodium carbonate anhydrous,497-19-8,,
Sodium polyacrylate,9003-4-7,secondary_polymer,carboxyl|polyacrylate
Hydrofluoric acid,7664-39-3,,
Nitric acid,7697-37-2,,
Artificial tear fluid,,,
Polyacrylamide,9003-05-8,secondary_polymer,amide|hydrogel|hydrophilic
2-(Dimethylamino)ethyl methacrylate,2867-47-2,,
Bovine serum albumin (BSA),9048-46-8,,
2-Hydroxyethyl methacrylate (HEMA),868-77-9,,
alpha-Ketoglutaric acid,328-50-7,,
Sodium hyaluronate,9067-32-7,lubricant_additive,carboxyl|hydroxyl|polysaccharide|biocompatible|lubricant
PEG dimethacrylate,25852-47-5,,
Boron trifluoride etherate,109-63-7,,
(3-Acrylamidopropyl)trimethylammonium chloride,45021-77-0,,
Polystyrene microspheres,9003-53-6,,
Tricaprin,621-71-6,,
Casein,9000-71-9,,
N-Boc-amido-PEG-amine,186020-53-1,,
Bovine serum albumin (BSA),9048-46-8,,
Stearyl stearate,2778-96-3,,
2-(Dimethylamino)ethyl methacrylate,2867-47-2,,
3-(Trimethoxysilyl)propyl methacrylate,2530-83-8,,
Pedot PSS,,,
Pepsin,,,
Tricaprylin,538-23-8,,
3-Hydroxy-1-propanesulfonic acid sodium salt,14933-09-6,,
Triolein,122-32-7,,
tert-Butyl peroxybenzoate,614-45-9,,
Hydroxyacetone,116-09-6,,
Di-tert-butyl dicarbonate (Boc2O),1609-47-8,,
"N,N-Methylenebisacrylamide",110-26-9,,
Pepsin,51805-45-9,,
Conductive adhesive,14814-09-6,,
SU8-2050 photoresist,7473-98-5,photo_initiator,hydroxyketone|UV_sensitive
alpha-Ketoglutaric acid,328-50-7,,
Trioctylmethylammonium chloride,10108-86-8,,
Potassium tetrachloroaurate,13682-61-6,,
Conductive adhesive,,,
Ovalbumin,9006-59-1,,
"N,N-Dimethylacrylamide",2680-03-7,,
SU8-2050 photoresist,,,
"DAPI (4,6-Diamidino-2-phenylindole)",28718-90-3,,
18-Crown-6,17455-13-9,,
1-Butyl-3-methylimidazole chloride,79917-90-1,,
N-Vinylpyrrolidone methacrylamide,38862-24-7,,
Cesium carbonate,681-52-9,,
HEMA resin,10029-04-6,,
11-Mercapto-1-undecanol,73768-94-2,,
Glutathione,70-18-8,,
Cholesterol,57-88-5,,
